import time: self [us] | cumulative | imported package
import time:       106 |        106 |                               torch.utils.data.datapipes.map.combining
import time:       107 |        107 |                               torch.utils.data.datapipes.map.grouping
import time:        64 |         64 |                               torch.utils.data.datapipes.map.utils
import time:       336 |        803 |                             torch.utils.data.datapipes.map
import time:       224 |       8377 |                           torch.utils.data.datapipes
import time:        63 |       8439 |                         torch.utils.data.datapipes.iter
import time:        62 |       8500 |                       torch.utils.data.datapipes.iter.sharding
import time:        60 |         60 |                       torch.utils.data.graph
import time:       178 |       8738 |                     torch.utils.data.graph_settings
import time:       405 |      19012 |                   torch.utils.data.dataloader
import time:        78 |         78 |                   torch.utils.data.distributed
import time:       157 |      19247 |                 torch.utils.data
import time:        47 |         47 |                 torch.utils.deterministic
import time:        97 |         97 |                 torch.utils.hooks
import time:       120 |        120 |                 torch.utils.backend_registration
import time:        31 |         31 |                 torch.utils.cpp_backtrace
import time:        60 |         60 |                 torch.utils.throughput_benchmark
import time:       623 |      20485 |               torch.utils
import time:        43 |         43 |               torchgen
import time:       118 |        118 |                   torchgen.code_template
import time:       273 |        390 |                 torchgen.utils
import time:      6120 |       6510 |               torchgen.model
import time:       610 |      27647 |             torch.utils._python_dispatch
import time:       562 |      28544 |           torch.nn.modules.module
import time:        97 |         97 |                   torch.distributed.autograd
import time:        84 |         84 |                     torch.futures
import time:        46 |         46 |                     torch.distributed.rpc._utils
import time:        46 |         46 |                     torch.distributed.rpc.constants
import time:       519 |        519 |                     torch.distributed.rpc.internal
import time:       451 |       1144 |                   torch.distributed.rpc.api
import time:       154 |        154 |                   torch.distributed.rpc.backend_registry
import time:        35 |         35 |                   torch.distributed.rpc.functions
import time:        57 |         57 |                   torch.distributed.rpc.options
import time:        39 |         39 |                                 _csv
import time:       197 |        236 |                               csv
import time:        60 |         60 |                               email
import time:        38 |         38 |                                   zipfile._path.glob
import time:       226 |        263 |                                 zipfile._path
import time:       425 |        688 |                               zipfile
import time:        52 |         52 |                                   quopri
import time:       320 |        320 |                                       calendar
import time:       143 |        462 |                                     email._parseaddr
import time:        37 |         37 |                                       email.base64mime
import time:        75 |         75 |                                       email.quoprimime
import time:       182 |        182 |                                       email.errors
import time:        37 |         37 |                                       email.encoders
import time:       302 |        632 |                                     email.charset
import time:       283 |       1376 |                                   email.utils
import time:       194 |        194 |                                     email.header
import time:       205 |        398 |                                   email._policybase
import time:        91 |         91 |                                   email._encoded_words
import time:        39 |         39 |                                   email.iterators
import time:       523 |       2476 |                                 email.message
import time:        30 |         30 |                                   importlib.metadata._functools
import time:       119 |        149 |                                 importlib.metadata._text
import time:       248 |       2871 |                               importlib.metadata._adapters
import time:       250 |        250 |                               importlib.metadata._meta
import time:        97 |         97 |                               importlib.metadata._collections
import time:        50 |         50 |                               importlib.metadata._itertools
import time:       163 |        163 |                                     importlib.resources.abc
import time:        99 |         99 |                                     importlib.resources._adapters
import time:       238 |        498 |                                   importlib.resources._common
import time:        67 |         67 |                                   importlib.resources._legacy
import time:       199 |        764 |                                 importlib.resources
import time:       208 |        971 |                               importlib.abc
import time:      1048 |       6266 |                             importlib.metadata
import time:        70 |         70 |                                       torch._functorch
import time:        78 |         78 |                                           torch.utils._contextlib
import time:       169 |        246 |                                         torch.autograd.grad_mode
import time:       186 |        432 |                                       torch.autograd.forward_ad
import time:       271 |        772 |                                     torch._functorch.pyfunctorch
import time:       438 |       1210 |                                   torch._ops
import time:       290 |        290 |                                   torch._library.utils
import time:       453 |       1952 |                                 torch._library.autograd
import time:       115 |        115 |                                 torch._library.fake_impl
import time:        81 |         81 |                                   torch._library.effects
import time:       205 |        285 |                                 torch._library.simple_registry
import time:       173 |        173 |                                 torch._library.fake_class_registry
import time:        45 |         45 |                                   torch.utils._exposed_in
import time:       163 |        163 |                                   torch._library.custom_ops
import time:       746 |        746 |                                     torch._library.opaque_object
import time:       311 |       1056 |                                   torch._library.infer_schema
import time:       331 |       1593 |                                 torch._library.triton
import time:       357 |       4471 |                               torch._library
import time:        64 |       4535 |                             torch._library.opaque_object
import time:      8917 |      19717 |                           torch.utils._pytree
import time:       177 |      19893 |                         torch._vmap_internals
import time:       153 |        153 |                         torch.autograd.functional
import time:       104 |        104 |                           torch.autograd.variable
import time:       352 |        455 |                         torch.autograd.graph
import time:        49 |         49 |                         torch.autograd.anomaly_mode
import time:        39 |         39 |                               torch._functorch.utils
import time:        73 |         73 |                                 torch._functorch.predispatch
import time:       178 |        250 |                               torch._functorch.vmap
import time:       237 |        525 |                             torch._functorch.apis
import time:       322 |        847 |                           torch._functorch.autograd_function
import time:       302 |       1148 |                         torch.autograd.function
import time:        53 |         53 |                             torch.testing._utils
import time:        25 |         25 |                               cmath
import time:       308 |        333 |                             torch.testing._comparison
import time:        98 |         98 |                             torch.testing._creation
import time:       229 |        711 |                           torch.testing
import time:       409 |       1120 |                         torch.autograd.gradcheck
import time:        25 |         25 |                             _uuid
import time:       274 |        298 |                           uuid
import time:       430 |        430 |                           torch.autograd.profiler_util
import time:       569 |       1296 |                         torch.autograd.profiler
import time:      1057 |      25168 |                       torch.autograd
import time:       184 |      25351 |                     torch.autograd.profiler_legacy
import time:       146 |      25497 |                   torch.distributed.rpc.server_process_global_profiler
import time:       768 |      27748 |                 torch.distributed.rpc
import time:       332 |        332 |                             pickletools
import time:        60 |         60 |                             torch.package._digraph
import time:        37 |         37 |                             torch.package._importlib
import time:        42 |         42 |                             torch.package._mangling
import time:        86 |         86 |                               torch.package.importer
import time:       121 |        207 |                             torch.package._package_pickler
import time:        30 |         30 |                             torch.package._stdlib
import time:        50 |         50 |                             torch.package.find_file_dependencies
import time:        77 |         77 |                             torch.package.glob_group
import time:       870 |       1701 |                           torch.package.package_exporter
import time:        97 |       1797 |                         torch.package.analyze.find_first_use_of_broken_modules
import time:        45 |         45 |                         torch.package.analyze.trace_dependencies
import time:       166 |       2007 |                       torch.package.analyze
import time:       100 |       2107 |                     torch.package.analyze.is_from_package
import time:        56 |         56 |                     torch.package.file_structure_representation
import time:        47 |         47 |                       torch.package._directory_reader
import time:        47 |         47 |                       torch.package._package_unpickler
import time:       296 |        388 |                     torch.package.package_importer
import time:       219 |       2768 |                   torch.package
import time:        63 |       2831 |                 torch.package._mangling
import time:        76 |         76 |                 torch._awaits
import time:       487 |      31140 |               torch._jit_internal
import time:       819 |        819 |               torch._torch_docs
import time:        44 |         44 |               torch.nn._reduction
import time:        41 |         41 |                 torch.nn.modules.utils
import time:       104 |        145 |               torch.nn.grad
import time:      1979 |      34125 |             torch.nn.functional
import time:       133 |        133 |             torch.nn.init
import time:        85 |         85 |             torch.nn.modules.lazy
import time:       357 |      34697 |           torch.nn.modules.linear
import time:       304 |        304 |           torch.nn.modules.activation
import time:       591 |        591 |             torch.nn.modules.container
import time:       175 |        766 |           torch.nn.modules.adaptive
import time:        97 |         97 |             torch.nn.modules._functions
import time:       225 |        321 |           torch.nn.modules.batchnorm
import time:        46 |         46 |           torch.nn.modules.channelshuffle
import time:       260 |        260 |             torch.nn.common_types
import time:       389 |        649 |           torch.nn.modules.conv
import time:        55 |         55 |           torch.nn.modules.distance
import time:        75 |         75 |           torch.nn.modules.dropout
import time:        55 |         55 |           torch.nn.modules.flatten
import time:        66 |         66 |           torch.nn.modules.fold
import time:       104 |        104 |           torch.nn.modules.instancenorm
import time:       305 |        305 |           torch.nn.modules.loss
import time:       108 |        108 |           torch.nn.modules.normalization
import time:       187 |        187 |           torch.nn.modules.padding
import time:        55 |         55 |           torch.nn.modules.pixelshuffle
import time:       248 |        248 |           torch.nn.modules.pooling
import time:        31 |         31 |                     torch.__future__
import time:       168 |        198 |                   torch.nn.utils.parametrize
